C,gamma,fitness
8192.0,0.000244140625,0.7262521426481041
8192.0,0.00048828125,0.7363295566983012
8192.0,0.0009765625,0.7346520200119848
8192.0,0.001953125,0.7430487617932744
8192.0,0.00390625,0.7534986133756986
8192.0,0.0078125,0.7611489123012389
8192.0,0.015625,0.7652553061025404
8192.0,0.03125,0.7682407291274719
8192.0,0.0625,0.7714123709185167
8192.0,0.125,0.7385666206781221
8192.0,0.25,0.5431980503644244
8192.0,0.5,0.47564871719832214
8192.0,1.0,0.47564871719832214
8192.0,2.0,0.47564871719832214
8192.0,4.0,0.47564871719832214
8192.0,8.0,0.47564871719832214
16384.0,3.0517578125e-05,0.7199079880708503
16384.0,6.103515625e-05,0.7241993812450354
16384.0,0.0001220703125,0.7189742812547906
16384.0,0.000244140625,0.7258786599216801
16384.0,0.00048828125,0.7286809997630894
16384.0,0.0009765625,0.7361445573254177
16384.0,0.001953125,0.7430487617932744
16384.0,0.00390625,0.7534986133756986
16384.0,0.0078125,0.7611489123012389
16384.0,0.015625,0.7652553061025404
16384.0,0.03125,0.7682407291274719
16384.0,0.0625,0.7714123709185167
16384.0,0.125,0.7385666206781221
16384.0,0.25,0.5431980503644244
16384.0,0.5,0.47564871719832214
16384.0,1.0,0.47564871719832214
